disease,symptom,weight,info_gain
Pneumonia,e 58 (0),0.1123,0.4857
Pneumonia,e 134 (2),0.1623,0.3626
Pneumonia,parkinson’s disease,0.6509,0.8212
Pneumonia,e 132 (6),0.1437,0.1279
Pneumonia,e 133 - commissure(l),0.2607,0.1256
Pneumonia,e 136 (2),0.1642,0.2122
Pneumonia,e 133 - side of the neck(r),0.2153,0.3783
Pneumonia,surgery within the last month,0.4971,2.2138
Pneumonia,e 219,0.573,1.9713
Pneumonia,e 132 (5),0.1458,0.1574
Pneumonia,e 136 (4),0.1692,0.1159
Pneumonia,e 132 (1),0.1405,0.3125
Pneumonia,e 132 (2),0.138,0.3118
Pneumonia,e 134 (5),0.167,0.141
Pneumonia,e 134 (4),0.1664,0.1274
Pneumonia,e 136 (1),0.1644,0.2172
Pneumonia,e 107,0.5866,0.6647
Pneumonia,e 133 - belly,0.1544,0.0417
Pneumonia,e 133 - shoulder(r),0.2533,0.1183
Pneumonia,e 133 - buttock(r),0.2479,0.1131
Pneumonia,e 133 - buttock(l),0.2418,0.1074
Pneumonia,e 133 - commissure(r),0.2618,0.1268
Pneumonia,e 136 (5),0.168,0.0854
Pneumonia,e 133 - posterior chest wall(l),0.1704,0.0514
Pneumonia,e 133 - shoulder(l),0.2543,0.1193
Pneumonia,e 133 - lumbar spine,0.2559,0.1328
Pneumonia,e 133 - posterior chest wall(r),0.1858,0.0618
Pneumonia,e 133 - flank(r),0.2368,0.1028
Chronic rhinosinusitis,pain,1.0,20.388
Chronic rhinosinusitis,feel pain - forehead,0.7494,5.9043
Chronic rhinosinusitis,feel pain - cheek(r),0.7492,3.6361
Chronic rhinosinusitis,feel pain - temple(l),0.0929,2.0817
Chronic rhinosinusitis,e 56 (4),0.1599,0.4581
Chronic rhinosinusitis,e 58 (3),0.14,0.3954
Chronic rhinosinusitis,e 59 (3),0.1968,0.4815
Chronic rhinosinusitis,smoking,0.7099,11.0741
Chronic rhinosinusitis,cough,0.8287,12.413
Chronic rhinosinusitis,e 204 - n,0.9693,3.0182
Chronic rhinosinusitis,feel pain - temple(r),0.1913,2.7333
Chronic rhinosinusitis,e 58 (7),0.1445,0.4903
Chronic rhinosinusitis,e 59 (2),0.1997,0.4978
Chronic rhinosinusitis,e 54 - sharp,0.7459,10.1932
Chronic rhinosinusitis,e 56 (5),0.1641,0.4589
Chronic rhinosinusitis,e 58 (2),0.1397,0.398
Chronic rhinosinusitis,e 118,0.7103,3.7898
Chronic rhinosinusitis,asthma or have you ever had to use a bronchodilator in the past,0.8675,8.2922
Chronic rhinosinusitis,nasal congestion or a clear runny nose,0.5134,8.0171
Chronic rhinosinusitis,feel pain - cheek(l),0.7404,3.6301
Chronic rhinosinusitis,e 58 (5),0.1423,0.4049
Chronic rhinosinusitis,e 59 (4),0.2063,0.4853
Chronic rhinosinusitis,e 58 (4),0.1418,0.3967
Chronic rhinosinusitis,e 54 - burning,0.8092,7.083
Chronic rhinosinusitis,feel pain - nose,0.7409,2.1021
Chronic rhinosinusitis,feel pain - eye(r),0.5725,2.2954
Chronic rhinosinusitis,e 56 (6),0.1655,0.4696
Chronic rhinosinusitis,pain radiate to another location - forehead,0.6332,1.8342
Chronic rhinosinusitis,pain radiate to another location - nose,0.6403,1.821
Chronic rhinosinusitis,pain radiate to another location - temple(r),0.6351,1.8163
Chronic rhinosinusitis,pain radiate to another location - temple(l),0.6373,1.8358
Chronic rhinosinusitis,e 59 (1),0.1969,0.5038
Chronic rhinosinusitis,e 103,0.8432,2.4083
Chronic rhinosinusitis,cold in the last 2 weeks,0.6206,3.7424
Chronic rhinosinusitis,polyps in your nose,0.9086,3.1761
Chronic rhinosinusitis,deviated nasal septum,0.6849,1.796
Chronic rhinosinusitis,e 125,0.6879,3.5721
Chronic rhinosinusitis,greenish or yellowish nasal discharge,0.6675,2.1005
Chronic rhinosinusitis,more likely to develop common allergies than the general population,0.8177,5.018
Chronic rhinosinusitis,e 56 (1),0.1699,0.3478
Chronic rhinosinusitis,e 56 (2),0.1702,0.466
Chronic rhinosinusitis,e 58 (8),0.1473,0.515
Chronic rhinosinusitis,e 59 (0),0.2002,0.751
Chronic rhinosinusitis,feel pain - eye(l),0.3518,1.5452
Chronic rhinosinusitis,e 56 (3),0.1705,0.4716
Chronic rhinosinusitis,e 58 (6),0.1443,0.4249
Chronic rhinosinusitis,feel pain - mouth,0.7397,2.0889
Chronic rhinosinusitis,pain radiate to another location - back of head,0.6376,1.8175
Viral pharyngitis,live with 4 or more people,0.6399,2.8818
Viral pharyngitis,pain,1.0,20.388
Viral pharyngitis,e 54 - sensitive,0.7972,8.6855
Viral pharyngitis,e 56 (4),0.145,0.4581
Viral pharyngitis,pain radiate to another location - nowhere,1.0,23.6038
Viral pharyngitis,e 59 (3),0.1689,0.4815
Viral pharyngitis,smoking,0.6004,11.0741
Viral pharyngitis,fever (either felt or measured with a thermometer),0.4932,9.051
Viral pharyngitis,cough,0.5998,12.413
Viral pharyngitis,e 204 - n,0.9699,3.0182
Viral pharyngitis,e 56 (7),0.1441,0.5221
Viral pharyngitis,e 58 (7),0.1437,0.4903
Viral pharyngitis,e 59 (2),0.1699,0.4978
Viral pharyngitis,e 56 (5),0.1424,0.4589
Viral pharyngitis,nasal congestion or a clear runny nose,0.6868,8.0171
Viral pharyngitis,e 58 (5),0.145,0.4049
Viral pharyngitis,e 59 (4),0.1646,0.4853
Viral pharyngitis,attend or work in a daycare,0.7167,2.3282
Viral pharyngitis,e 58 (4),0.1415,0.3967
Viral pharyngitis,e 54 - burning,0.8379,7.083
Viral pharyngitis,e 56 (6),0.1421,0.4696
Viral pharyngitis,e 59 (1),0.1652,0.5038
Viral pharyngitis,e 41,0.7988,3.2716
Viral pharyngitis,feel pain - tonsil(r),0.7968,3.159
Viral pharyngitis,feel pain - tonsil(l),0.7975,3.1485
Viral pharyngitis,feel pain - thyroid cartilage,0.7962,1.7192
Viral pharyngitis,feel pain - palace,0.7935,3.1344
Viral pharyngitis,feel pain - pharynx,0.7953,3.4434
Viral pharyngitis,e 58 (9),0.1422,0.4141
Viral pharyngitis,immunosuppressed,0.5935,2.1992
Viral pharyngitis,e 58 (8),0.1414,0.515
Viral pharyngitis,e 59 (0),0.1648,0.751
Viral pharyngitis,e 58 (10),0.1421,0.4175
Viral pharyngitis,e 56 (3),0.1407,0.4716
Viral pharyngitis,e 45,0.5525,4.6275
Viral pharyngitis,e 56 (8),0.142,0.5473
Viral pharyngitis,e 56 (9),0.1438,0.5211
Viral pharyngitis,e 59 (5),0.1666,0.464
Viral pharyngitis,e 58 (6),0.1442,0.4249
Viral pharyngitis,feel pain - under the jaw,0.5413,1.4394
Anemia,pain,0.9905,20.388
Anemia,e 54 - sensitive,0.5934,8.6855
Anemia,feel pain - forehead,0.6021,5.9043
Anemia,feel pain - temple(l),0.6011,2.0817
Anemia,e 56 (4),0.1981,0.4581
Anemia,pain radiate to another location - nowhere,1.0,23.6038
Anemia,e 58 (3),0.1415,0.3954
Anemia,e 59 (3),0.166,0.4815
Anemia,e 204 - n,0.5285,3.0182
Anemia,e 54 - exhausting,0.6201,5.0553
Anemia,feel pain - top of the head,0.5963,3.2727
Anemia,feel pain - temple(r),0.6038,2.7333
Anemia,e 58 (7),0.1431,0.4903
Anemia,e 59 (2),0.1645,0.4978
Anemia,e 56 (5),0.1961,0.4589
Anemia,e 58 (2),0.1404,0.398
Anemia,e 58 (5),0.1462,0.4049
Anemia,e 59 (4),0.1658,0.4853
Anemia,e 58 (4),0.1386,0.3967
Anemia,e 59 (1),0.1639,0.5038
Anemia,poor diet,0.7497,1.0939
Anemia,e 24,0.7775,1.1776
Anemia,e 54 - tugging,0.593,4.1004
Anemia,e 54 - a cramp,0.5942,3.7986
Anemia,e 56 (1),0.2024,0.3478
Anemia,feel lightheaded and dizzy or do you feel like you are about to faint,0.6671,3.693
Anemia,feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long,0.6352,2.627
Anemia,chronic kidney failure,0.7514,1.0989
Anemia,e 140,0.5981,0.8535
Anemia,taking any new oral anticoagulants ((noacs),0.7983,1.2423
Anemia,skin much paler than usual,0.6011,0.6985
Anemia,underweight,0.7772,2.5741
Anemia,e 56 (2),0.1949,0.466
Anemia,e 58 (8),0.1377,0.515
Anemia,e 59 (0),0.1739,0.751
Anemia,shortness of breath or difficulty breathing in a significant way,0.6041,10.3715
Anemia,feel slightly dizzy or lightheaded,0.6027,2.5106
Anemia,e 56 (3),0.199,0.4716
Anemia,e 59 (5),0.1658,0.464
Anemia,e 58 (6),0.143,0.4249
Anemia,non-restful sleep,0.6014,4.2598
Anemia,feel pain - back of head,0.6021,2.8334
Anemia,think you are pregnant or are you currently pregnant,0.3426,0.4381
Anemia,family members who have been diagnosed with anemia,0.7126,0.9869
Anemia,e 179,0.6004,0.6969
Anemia,very abundant or very long menstruation periods,0.2177,0.0862
Anemia,e 204 - west africa,0.0704,1.9617
Anemia,e 204 - asia,0.0556,0.0042
Anemia,e 204 - north africa,0.0707,0.0074
Anemia,e 204 - south east asia,0.0553,0.0041
Anemia,e 204 - south africa,0.0738,0.0081
Atrial fibrillation,e 204 - n,0.9679,3.0182
Atrial fibrillation,e 19,0.7098,0.979
Atrial fibrillation,known issue with one of your heart valves,0.7647,1.8662
Atrial fibrillation,severe chronic obstructive pulmonary disease (copd),0.7471,1.9001
Atrial fibrillation,shortness of breath or difficulty breathing in a significant way,0.7217,10.3715
Atrial fibrillation,diabetes,0.5762,5.5862
Atrial fibrillation,significantly overweight compared to people of the same height as you,0.6241,5.8498
Atrial fibrillation,feel slightly dizzy or lightheaded,0.6912,2.5106
Atrial fibrillation,high blood pressure or do you take medications to treat high blood pressure,0.7386,5.0569
Atrial fibrillation,angina (chest pain),0.7191,5.4348
Atrial fibrillation,known heart defect,0.6652,0.8582
Atrial fibrillation,"feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations",0.7314,5.1248
Atrial fibrillation,symptoms that are increased with physical exertion but alleviated with rest,0.5748,5.004
Atrial fibrillation,feel your heart is beating very irregularly or in a disorganized pattern,0.7632,1.1341
Allergic sinusitis,cough,0.6277,12.413
Allergic sinusitis,e 204 - n,0.9521,3.0182
Allergic sinusitis,asthma or have you ever had to use a bronchodilator in the past,0.7548,8.2922
Allergic sinusitis,nasal congestion or a clear runny nose,0.8764,8.0171
Allergic sinusitis,more likely to develop common allergies than the general population,0.7134,5.018
Allergic sinusitis,"close family members who suffer from allergies (any type), hay fever or eczema",0.6886,0.9206
Allergic sinusitis,family members who have asthma,0.5174,1.3347
Allergic sinusitis,nose or the back of your throat itchy,0.8236,1.3233
Allergic sinusitis,severe itching in one or both eyes,0.7263,1.0257
Allergic sinusitis,live in in a big city,0.6211,1.3644
Larygospasm,smoking,0.5348,11.0741
Larygospasm,e 204 - n,0.9469,3.0182
Larygospasm,exposed to secondhand cigarette smoke on a daily basis,0.5187,3.0379
Larygospasm,asthma or have you ever had to use a bronchodilator in the past,0.5185,8.2922
Larygospasm,cold in the last 2 weeks,0.5292,3.7424
Larygospasm,e 125,0.5107,3.5721
Larygospasm,e 194,1.0,4.5582
Larygospasm,e 204 - north america,0.0531,0.9775
Cluster headache,pain,1.0,20.388
Cluster headache,feel pain - forehead,0.7641,5.9043
Cluster headache,feel pain - cheek(r),0.7617,3.6361
Cluster headache,feel pain - temple(l),0.3265,2.0817
Cluster headache,pain radiate to another location - nowhere,1.0,23.6038
Cluster headache,e 204 - n,0.9694,3.0182
Cluster headache,feel pain - temple(r),0.5581,2.7333
Cluster headache,e 56 (7),0.2476,0.5221
Cluster headache,e 58 (7),0.168,0.4903
Cluster headache,e 54 - a knife stroke,0.7597,9.5684
Cluster headache,e 54 - sharp,0.7623,10.1932
Cluster headache,addiction to alcohol,0.6652,6.2613
Cluster headache,nasal congestion or a clear runny nose,0.5941,8.0171
Cluster headache,feel pain - cheek(l),0.7593,3.6301
Cluster headache,e 58 (5),0.1656,0.4049
Cluster headache,feel pain - eye(r),0.7615,2.2954
Cluster headache,e 58 (9),0.1665,0.4141
Cluster headache,e 54 - tugging,0.7629,4.1004
Cluster headache,e 58 (8),0.1669,0.515
Cluster headache,e 25,0.8308,1.3469
Cluster headache,e 54 - haunting,0.7613,3.6621
Cluster headache,e 54 - violent,0.7588,4.0309
Cluster headache,feel pain - eye(l),0.7623,1.5452
Cluster headache,e 58 (10),0.169,0.4175
Cluster headache,e 59 (9),0.2506,0.4846
Cluster headache,take medication that dilates your blood vessels,0.7506,1.0965
Cluster headache,e 56 (8),0.2507,0.5473
Cluster headache,e 59 (8),0.249,0.5129
Cluster headache,e 56 (9),0.2505,0.5211
Cluster headache,feel that your eyes produce excessive tears,0.6044,0.7063
Cluster headache,e 58 (6),0.1641,0.4249
Cluster headache,e 56 (10),0.2512,0.4343
Cluster headache,e 59 (10),0.2466,0.409
Cluster headache,e 59 (7),0.2537,0.5638
Anaphylaxis,pain,0.9995,20.388
Anaphylaxis,e 56 (4),0.1445,0.4581
Anaphylaxis,pain radiate to another location - nowhere,1.0,23.6038
Anaphylaxis,e 58 (3),0.1437,0.3954
Anaphylaxis,e 59 (3),0.1444,0.4815
Anaphylaxis,e 204 - n,0.9701,3.0182
Anaphylaxis,diarrhea or an increase in stool frequency,0.6047,3.4266
Anaphylaxis,e 56 (7),0.1441,0.5221
Anaphylaxis,e 59 (2),0.1389,0.4978
Anaphylaxis,"lesions, redness or problems on your skin that you believe are related to the condition you are consulting for",1.0,11.7506
Anaphylaxis,e 131 - n,1.0,13.3891
Anaphylaxis,e 132 (0),0.1435,2.5805
Anaphylaxis,e 135 - y,1.0,10.3408
Anaphylaxis,feel like vomiting,0.5479,5.387
Anaphylaxis,e 54 - a knife stroke,0.6457,9.5684
Anaphylaxis,e 54 - sharp,0.5541,10.1932
Anaphylaxis,e 56 (5),0.1395,0.4589
Anaphylaxis,e 58 (2),0.139,0.398
Anaphylaxis,e 59 (6),0.1435,0.4549
Anaphylaxis,e 130 - pink,1.0,6.8587
Anaphylaxis,e 132 (4),0.1415,0.2742
Anaphylaxis,e 134 (0),0.2539,2.6038
Anaphylaxis,e 58 (5),0.1454,0.4049
Anaphylaxis,e 59 (4),0.1435,0.4853
Anaphylaxis,e 58 (4),0.1434,0.3967
Anaphylaxis,e 56 (6),0.1425,0.4696
Anaphylaxis,more likely to develop common allergies than the general population,0.669,5.018
Anaphylaxis,e 54 - a cramp,0.5569,3.7986
Anaphylaxis,feel lightheaded and dizzy or do you feel like you are about to faint,0.6307,3.693
Anaphylaxis,shortness of breath or difficulty breathing in a significant way,0.6022,10.3715
Anaphylaxis,e 194,0.601,4.5582
Anaphylaxis,known severe food allergy,0.804,1.2603
Anaphylaxis,e 42,0.772,1.1608
Anaphylaxis,feel pain - iliac fossa(r),0.5548,1.7481
Anaphylaxis,feel pain - iliac fossa(l),0.552,1.7604
Anaphylaxis,feel pain - hypochondrium(r),0.5276,1.4309
Anaphylaxis,feel pain - hypochondrium(l),0.462,2.0952
Anaphylaxis,feel pain - epigastric,0.5507,5.699
Anaphylaxis,e 56 (3),0.1447,0.4716
Anaphylaxis,e 133 - back of the neck,0.7521,2.264
Anaphylaxis,e 133 - biceps(l),0.7498,1.9187
Anaphylaxis,e 133 - mouth,0.7503,1.9338
Anaphylaxis,e 133 - thyroid cartilage,0.7505,1.9222
Anaphylaxis,e 133 - ankle(r),0.5746,1.2719
Anaphylaxis,e 134 (3),0.2491,0.3726
Anaphylaxis,e 136 (10),0.2551,0.1895
Anaphylaxis,swelling in one or more areas of your body,0.9933,6.9475
Anaphylaxis,e 152 - forehead,0.718,1.0021
Anaphylaxis,e 152 - cheek(r),0.7173,1.0001
Anaphylaxis,e 152 - cheek(l),0.7137,0.99
Anaphylaxis,e 159,0.5999,1.5328
Anaphylaxis,e 56 (8),0.1455,0.5473
Anaphylaxis,e 58 (1),0.1435,0.2877
Anaphylaxis,e 59 (8),0.1442,0.5129
Anaphylaxis,e 56 (9),0.1388,0.5211
Anaphylaxis,e 59 (5),0.1415,0.464
Anaphylaxis,feel pain - flank(l),0.5569,1.7209
Anaphylaxis,e 58 (6),0.141,0.4249
Anaphylaxis,feel pain - pubis,0.2862,0.4036
Anaphylaxis,e 133 - ankle(l),0.3471,0.5613
Anaphylaxis,e 133 - cervical spine,0.184,0.3261
Anaphylaxis,e 133 - thoracic spine,0.0856,0.1795
Anaphylaxis,e 134 (1),0.2477,0.3469
Anaphylaxis,e 132 (3),0.1426,0.3118
Anaphylaxis,feel pain - flank(r),0.5562,1.4761
Anaphylaxis,feel pain - belly,0.3773,2.2215
Anaphylaxis,e 133 - biceps(r),0.747,1.9013
Anaphylaxis,e 136 (9),0.2507,0.1826
Anaphylaxis,e 58 (0),0.144,0.4857
Anaphylaxis,e 134 (2),0.2493,0.3626
Anaphylaxis,e 136 (8),0.249,0.1831
Anaphylaxis,e 152 - nose,0.7173,1.0001
Anaphylaxis,e 214,0.5977,5.3032
Anaphylaxis,e 132 (6),0.143,0.1279
Anaphylaxis,e 132 (5),0.1412,0.1574
Anaphylaxis,e 136 (7),0.2451,0.1776
Anaphylaxis,e 59 (7),0.1435,0.5638
Anaphylaxis,e 132 (1),0.1446,0.3125
Anaphylaxis,e 132 (2),0.1436,0.3118
Spontaneous pneumothorax,pain,1.0,20.388
Spontaneous pneumothorax,pain radiate to another location - nowhere,1.0,23.6038
Spontaneous pneumothorax,e 58 (3),0.145,0.3954
Spontaneous pneumothorax,smoking,0.7961,11.0741
Spontaneous pneumothorax,e 204 - n,0.969,3.0182
Spontaneous pneumothorax,e 56 (7),0.1994,0.5221
Spontaneous pneumothorax,e 58 (7),0.1422,0.4903
Spontaneous pneumothorax,e 54 - a knife stroke,0.7705,9.5684
Spontaneous pneumothorax,feel pain - lower chest,0.5518,6.3707
