symptom,information_gain,specificity,combined_score,p_yes_avg
pain in top of head,0.3819,0.8776,0.5306,0.0743
sore throat,0.3686,0.898,0.5274,0.0707
clinical evidence 118,0.3577,0.9184,0.5259,0.0678
pain in back of the neck,0.3634,0.898,0.5238,0.0693
pain character: lancinating/shooting,0.3631,0.898,0.5236,0.0692
pain in right cheek,0.3521,0.9184,0.522,0.0663
pain in pharynx,0.3609,0.898,0.522,0.0687
pain in left cheek,0.352,0.9184,0.5219,0.0663
pain in right temple,0.3853,0.8367,0.5208,0.0753
clinical evidence 125,0.3482,0.9184,0.5193,0.0653
clinical evidence 217,0.3477,0.9184,0.5189,0.0652
pain radiates to biceps (right),0.3423,0.9184,0.5151,0.0638
pain radiates to biceps (left),0.3419,0.9184,0.5149,0.0637
pain radiates to right shoulder,0.3418,0.9184,0.5148,0.0637
involuntary weight loss over the last 3 months,0.3416,0.9184,0.5146,0.0636
exposed to secondhand cigarette smoke on a daily basis,0.3327,0.9184,0.5084,0.0613
clinical evidence 175,0.3321,0.9184,0.508,0.0612
get full more quickly then usually,0.3299,0.9184,0.5064,0.0606
live with 4 or more people,0.3289,0.9184,0.5058,0.0604
heart failure,0.3201,0.9388,0.5057,0.0582
contact_with_sick_person,0.3111,0.9388,0.4994,0.0559
lesion smaller than 1cm,0.3283,0.898,0.4992,0.0602
pain in tonsil (right),0.3082,0.9388,0.4974,0.0552
pain in tonsil (left),0.3079,0.9388,0.4972,0.0552
pain in palace,0.3075,0.9388,0.4969,0.0551
pain character: tearing,0.3059,0.9388,0.4957,0.0547
pain in belly,0.3228,0.898,0.4953,0.0588
pain character: sickening,0.3045,0.9388,0.4948,0.0543
pain radiates to posterior chest wall (right),0.3027,0.9388,0.4935,0.0539
high cholesterol or do you take medications to treat high cholesterol,0.3011,0.9388,0.4924,0.0535
pain radiates to thyroid cartilage,0.3004,0.9388,0.4919,0.0533
clinical evidence 0,0.3003,0.9388,0.4919,0.0533
pain radiates to left shoulder,0.3076,0.9184,0.4908,0.0551
close family members who had a cardiovascular disease problem before the age of 50,0.2986,0.9388,0.4907,0.0529
intense coughing fits,0.2977,0.9388,0.4901,0.0527
pain in left temple,0.3415,0.8367,0.4901,0.0636
pain in left upper abdomen,0.3138,0.898,0.4891,0.0566
feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long,0.2914,0.9388,0.4856,0.0512
pain radiates to posterior chest wall (left),0.2903,0.9388,0.4849,0.0509
rash pain intensity: 0/10,0.3251,0.8571,0.4847,0.0594
underweight,0.2894,0.9388,0.4842,0.0507
rash is pale colored,0.2799,0.9592,0.4837,0.0485
regularly take stimulant drugs,0.2882,0.9388,0.4834,0.0504
feel slightly dizzy or lightheaded,0.2879,0.9388,0.4832,0.0504
rash swelling: 0/10,0.3397,0.8163,0.4827,0.0631
swollen or painful lymph nodes,0.2853,0.9388,0.4813,0.0497
skin lesion on back of the neck,0.2928,0.9184,0.4805,0.0515
pain radiates to scapula (right),0.2814,0.9388,0.4786,0.0488
attend or work in a daycare,0.2814,0.9388,0.4786,0.0488
polyps in your nose,0.2725,0.9592,0.4785,0.0468
pain in eye (right),0.279,0.9388,0.477,0.0483
immunosuppressed,0.2764,0.9388,0.4751,0.0477
pain radiates to scapula (left),0.2758,0.9388,0.4747,0.0475
pain in left flank,0.2892,0.898,0.4718,0.0507
clinical evidence 219,0.2683,0.9388,0.4694,0.0458
clinical evidence 212,0.2543,0.9592,0.4658,0.0427
clinical evidence 103,0.2511,0.9592,0.4635,0.0419
pain in right upper abdomen,0.2657,0.9184,0.4615,0.0452
pain in left lower abdomen,0.2561,0.9388,0.4609,0.0431
pain in right lower abdomen,0.2612,0.9184,0.4583,0.0442
clinical evidence 157,0.2431,0.9592,0.4579,0.0402
"difficulty swallowing, or have a feeling of discomfort/blockage when swallowing",0.2422,0.9592,0.4573,0.04
pain in right ankle,0.2507,0.9388,0.4571,0.0419
pain in nose,0.2419,0.9592,0.4571,0.0399
pain in mouth,0.2414,0.9592,0.4568,0.0398
greenish or yellowish nasal discharge,0.2411,0.9592,0.4566,0.0397
pain in right flank,0.2579,0.9184,0.456,0.0434
surgery within the last month,0.2385,0.9592,0.4547,0.0392
swelling in ankle (right),0.2382,0.9592,0.4545,0.0391
swelling in ankle (left),0.238,0.9592,0.4544,0.0391
clinical evidence 3,0.2378,0.9592,0.4542,0.039
pain onset: sudden,0.4284,0.5102,0.453,0.0876
skin lesion on mouth,0.236,0.9592,0.453,0.0386
skin lesion on thyroid cartilage,0.2356,0.9592,0.4527,0.0385
skin lesion on biceps (left),0.2355,0.9592,0.4526,0.0385
skin lesion on biceps (right),0.2349,0.9592,0.4522,0.0384
severe chronic obstructive pulmonary disease (copd),0.2348,0.9592,0.4521,0.0384
pain in left ankle,0.2423,0.9388,0.4512,0.04
known issue with one of your heart valves,0.2332,0.9592,0.451,0.038
former smoker,0.233,0.9592,0.4509,0.038
pain radiates to left temple,0.2324,0.9592,0.4504,0.0379
pain radiates to forehead,0.2323,0.9592,0.4503,0.0378
feel weakness in both arms and/or both legs,0.2321,0.9592,0.4502,0.0378
pain radiates to nose,0.2319,0.9592,0.4501,0.0378
pain radiates to back of head,0.2318,0.9592,0.45,0.0377
pain radiates to right temple,0.2317,0.9592,0.4499,0.0377
deviated nasal septum,0.2314,0.9592,0.4497,0.0376
pain in eye (left),0.239,0.9388,0.449,0.0393
feel anxious,0.2289,0.9592,0.448,0.0371
chills or shivers,0.2287,0.9592,0.4478,0.0371
hard time opening/raising one or both eyelids,0.2274,0.9592,0.4469,0.0368
clinical evidence 190,0.2265,0.9592,0.4463,0.0366
"exercise regularly, 4 times per week or more",0.2254,0.9592,0.4455,0.0364
rash is na colored,0.2424,0.9184,0.4452,0.04
no skin lesions present,0.2424,0.9184,0.4452,0.04
pain in thyroid cartilage,0.2489,0.898,0.4436,0.0414
infected with the human immunodeficiency virus (hiv),0.2219,0.9592,0.4431,0.0356
pain in under the jaw,0.2305,0.9388,0.443,0.0375
clinical evidence 159,0.2213,0.9592,0.4426,0.0355
chest pain even at rest,0.2171,0.9592,0.4397,0.0346
clinical evidence 109,0.2171,0.9592,0.4397,0.0346
pain character: pulsating,0.2258,0.9388,0.4397,0.0364
pain in side of the neck (right),0.2159,0.9592,0.4389,0.0344
live in in a big city,0.2145,0.9592,0.4379,0.0341
work in agriculture,0.213,0.9592,0.4368,0.0338
take corticosteroids,0.2125,0.9592,0.4365,0.0337
family members who have asthma,0.2123,0.9592,0.4364,0.0336
currently using intravenous drugs,0.2116,0.9592,0.4359,0.0335
pain onset: gradual,0.4648,0.3673,0.4356,0.0987
pain onset: very gradual,0.4034,0.5102,0.4354,0.0803
skin lesion on ankle (right),0.2105,0.9592,0.4351,0.0333
"currently, have any weakness/paralysis in one or more of your limbs or in your face",0.2103,0.9592,0.435,0.0332
pain intensity: 7/10,0.4451,0.4082,0.434,0.0926
pain intensity: 8/10,0.4182,0.4694,0.4335,0.0846
"currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body",0.2073,0.9592,0.4329,0.0326
pain character: scary,0.2063,0.9592,0.4322,0.0324
no swelling present,0.2051,0.9592,0.4313,0.0322
swelling in calf (right),0.2048,0.9592,0.4311,0.0321
pain intensity: 6/10,0.4581,0.3673,0.4309,0.0966
swelling in calf (left),0.2039,0.9592,0.4305,0.0319
pain that is increased with movement,0.1951,0.9796,0.4304,0.0301
skin lesions are peeling,0.1947,0.9796,0.4302,0.0301
clinical evidence 92,0.1939,0.9796,0.4296,0.0299
clinical evidence 187,0.1933,0.9796,0.4292,0.0298
clinical evidence 166,0.1931,0.9796,0.429,0.0297
recent travel to: west africa,0.2015,0.9592,0.4288,0.0314
rash is red colored,0.1925,0.9796,0.4287,0.0296
pain radiates to under the jaw,0.2099,0.9388,0.4286,0.0331
pain intensity: 5/10,0.4456,0.3878,0.4282,0.0928
pain localization: 7/10,0.4451,0.3878,0.4279,0.0926
pain intensity: 9/10,0.3118,0.6939,0.4265,0.0561
pain localization: 8/10,0.3989,0.4898,0.4261,0.0791
clinical evidence 210,0.1974,0.9592,0.4259,0.0306
pain intensity: 3/10,0.4055,0.4694,0.4247,0.081
pain intensity: 4/10,0.423,0.4286,0.4247,0.086
clinical evidence 73,0.1857,0.9796,0.4239,0.0283
clinical evidence 178,0.1855,0.9796,0.4237,0.0282
pain localization: 6/10,0.4553,0.3469,0.4228,0.0957
pain intensity: 2/10,0.3567,0.5714,0.4211,0.0675
clinical evidence 21,0.1793,0.9796,0.4194,0.027
pain localization: 5/10,0.441,0.3673,0.4189,0.0914
clinical evidence 25,0.1778,0.9796,0.4184,0.0268
clinical evidence 5,0.1772,0.9796,0.4179,0.0266
nose or the back of your throat itchy,0.1771,0.9796,0.4178,0.0266
clinical evidence 140,0.1846,0.9592,0.417,0.0281
pain in side of the neck (left),0.1842,0.9592,0.4167,0.028
known severe food allergy,0.175,0.9796,0.4164,0.0262
clinical evidence 211,0.1749,0.9796,0.4163,0.0262
pain in ear (right),0.1743,0.9796,0.4159,0.0261
taking any new oral anticoagulants ((noacs),0.1744,0.9796,0.4159,0.0261
pain in ear (left),0.1743,0.9796,0.4159,0.0261
cystic fibrosis,0.1741,0.9796,0.4157,0.026
pain intensity: 10/10,0.2426,0.8163,0.4147,0.0401
swelling in thigh (left),0.1723,0.9796,0.4145,0.0257
clinical evidence 4,0.1724,0.9796,0.4145,0.0257
swelling in dorsal aspect of the foot (right),0.1723,0.9796,0.4145,0.0257
clinical evidence 24,0.1722,0.9796,0.4144,0.0257
swelling in thigh (right),0.1721,0.9796,0.4144,0.0257
2 or more asthma attacks in the past year,0.1717,0.9796,0.414,0.0256
clinical evidence 42,0.1716,0.9796,0.414,0.0256
feel like you are dying or were you afraid that you were about do die,0.171,0.9796,0.4136,0.0254
skin lesion on labia majora (right),0.1708,0.9796,0.4135,0.0254
pain localization: 4/10,0.4067,0.4286,0.4133,0.0813
feel your heart is beating very irregularly or in a disorganized pattern,0.1706,0.9796,0.4133,0.0254
skin lesion on upper gum,0.1707,0.9796,0.4133,0.0254
skin lesion on lower gum,0.1705,0.9796,0.4132,0.0253
skin lesion on labia majora (left),0.1702,0.9796,0.413,0.0253
pain in neck/upper back,0.1788,0.9592,0.4129,0.0269
skin lesion on internal cheek (right),0.17,0.9796,0.4129,0.0253
pain radiates to upper chest,0.1787,0.9592,0.4129,0.0269
pain localization: 10/10,0.2396,0.8163,0.4127,0.0394
pain localization: 2/10,0.3971,0.449,0.4126,0.0786
suffer from chronic anxiety,0.1694,0.9796,0.4125,0.0251
chronic kidney failure,0.1694,0.9796,0.4124,0.0251
take medication that dilates your blood vessels,0.1693,0.9796,0.4124,0.0251
clinical evidence 137,0.1693,0.9796,0.4124,0.0251
pain in right shoulder,0.1955,0.9184,0.4123,0.0302
currently undergo dialysis,0.1692,0.9796,0.4123,0.0251
clinical evidence 223,0.1692,0.9796,0.4123,0.0251
poor diet,0.1692,0.9796,0.4123,0.0251
"burning sensation that starts in your stomach then goes up into your throat, and can be associated with a bitter taste in your mouth",0.1689,0.9796,0.4121,0.0251
symptoms that get worse after eating,0.1687,0.9796,0.412,0.025
perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision),0.1686,0.9796,0.4119,0.025
pain localization: 3/10,0.396,0.449,0.4119,0.0783
being treated for osteoporosis,0.1684,0.9796,0.4118,0.025
bouts of choking or shortness of breath that wake you up at night,0.1684,0.9796,0.4118,0.025
difficulty articulating words/speaking,0.1684,0.9796,0.4118,0.025
pain localization: 0/10,0.221,0.8571,0.4118,0.0354
pain radiates to lower chest,0.1683,0.9796,0.4117,0.0249
clinical evidence 119,0.168,0.9796,0.4115,0.0249
problem with poor circulation,0.1674,0.9796,0.4111,0.0248
clinical evidence 80,0.1674,0.9796,0.4111,0.0248
pain radiates to side of the chest (left),0.1671,0.9796,0.4108,0.0247
pain in scapula (right),0.1668,0.9796,0.4106,0.0246
pain radiates to side of the chest (right),0.1667,0.9796,0.4106,0.0246
severe itching in one or both eyes,0.1666,0.9796,0.4105,0.0246
one or several flare ups of chronic obstructive pulmonary disease (copd) in the past year,0.1665,0.9796,0.4104,0.0246
pale stools and dark urine,0.1664,0.9796,0.4104,0.0246
pain in scapula (left),0.1665,0.9796,0.4104,0.0246
person have a whooping cough,0.1662,0.9796,0.4103,0.0245
pain localization: 9/10,0.2538,0.7755,0.4103,0.0425
sexual intercourse with an hiv-positive partner in the past 12 months,0.1659,0.9796,0.41,0.0245
clinical evidence 27,0.1657,0.9796,0.4099,0.0244
rash is yellow colored,0.1658,0.9796,0.4099,0.0245
swelling in forehead,0.1657,0.9796,0.4099,0.0244
skin lesion on upper abdomen,0.1658,0.9796,0.4099,0.0245
swelling in cheek (right),0.1657,0.9796,0.4098,0.0244
swelling in nose,0.1657,0.9796,0.4098,0.0244
unprotected sex with more than one partner in the last 6 months,0.1656,0.9796,0.4098,0.0244
feel like you are detached from your own body or your surroundings,0.1656,0.9796,0.4098,0.0244
clinical evidence 101,0.1655,0.9796,0.4097,0.0244
swelling in cheek (left),0.1653,0.9796,0.4096,0.0244
clinical evidence 185,0.1653,0.9796,0.4096,0.0244
clinical evidence 39,0.1653,0.9796,0.4096,0.0244
family members who have been diagnosed with anemia,0.1652,0.9796,0.4095,0.0243
clinical evidence 19,0.1648,0.9796,0.4093,0.0243
clinical evidence 15,0.1644,0.9796,0.409,0.0242
skin lesion on iliac fossa (right),0.1644,0.9796,0.409,0.0242
pain in left shoulder,0.1819,0.9388,0.409,0.0275
clinical evidence 147,0.1643,0.9796,0.4089,0.0242
skin lesion on iliac fossa (left),0.1638,0.9796,0.4085,0.0241
find that your symptoms have worsened over the last 2 weeks and that progressively less effort is required to cause the symptoms,0.1633,0.9796,0.4082,0.024
"close family members who suffer from allergies (any type), hay fever or eczema",0.1625,0.9796,0.4077,0.0238
pain in right hip,0.1624,0.9796,0.4075,0.0238
pain in left hip,0.1622,0.9796,0.4074,0.0238
hiatal hernia,0.1621,0.9796,0.4073,0.0238
skin lesion on ankle (left),0.1706,0.9592,0.4072,0.0254
rheumatoid arthritis,0.1613,0.9796,0.4068,0.0236
metastatic cancer,0.1611,0.9796,0.4066,0.0236
active cancer,0.161,0.9796,0.4066,0.0236
swelling in tibia (right),0.1608,0.9796,0.4064,0.0235
suffer from crohn’s disease or ulcerative colitis (uc),0.1606,0.9796,0.4063,0.0235
liver cirrhosis,0.1604,0.9796,0.4062,0.0234
skin lesion on cheek (right),0.1604,0.9796,0.4061,0.0234
known kidney problem resulting in an inability to retain proteins,0.1601,0.9796,0.406,0.0234
clinical evidence 165,0.16,0.9796,0.4059,0.0234
skin lesion on nose,0.1601,0.9796,0.4059,0.0234
suffer from fibromyalgia,0.16,0.9796,0.4059,0.0234
known heart defect,0.16,0.9796,0.4059,0.0234
"annoying muscle spasms in your face, neck or any other part of your body",0.1598,0.9796,0.4058,0.0233
family members who have had lung cancer,0.1597,0.9796,0.4057,0.0233
trouble keeping your tongue in your mouth,0.1596,0.9796,0.4056,0.0233
skin lesion on cheek (left),0.1597,0.9796,0.4056,0.0233
pain or weakness in your jaw,0.1596,0.9796,0.4056,0.0233
suddenly have difficulty or an inability to open your mouth or have jaw pain when opening it,0.1593,0.9796,0.4054,0.0232
feel that muscle spasms or soreness in your neck are keeping you from turning your head to one side,0.1591,0.9796,0.4053,0.0232
rash pain intensity: 3/10,0.2117,0.8571,0.4053,0.0335
pain intensity: 1/10,0.2379,0.7959,0.4053,0.039
clinical evidence 83,0.1592,0.9796,0.4053,0.0232
clinical evidence 40,0.159,0.9796,0.4052,0.0232
painful mouth ulcers or sores,0.1589,0.9796,0.4051,0.0232
parkinson’s disease,0.1584,0.9796,0.4048,0.0231
clinical evidence 28,0.1582,0.9796,0.4046,0.0231
rash pain intensity: 2/10,0.2104,0.8571,0.4044,0.0332
recent travel to: north america,0.1838,0.9184,0.4042,0.0279
chronic pancreatitis,0.1572,0.9796,0.4039,0.0229
work in the mining sector,0.1561,0.9796,0.4031,0.0227
rash pain intensity: 1/10,0.1986,0.8776,0.4023,0.0308
rash swelling: 1/10,0.2158,0.8367,0.4021,0.0344
feel your abdomen is bloated or distended (swollen due to pressure from inside),0.1545,0.9796,0.402,0.0224
clinical evidence 110,0.154,0.9796,0.4017,0.0223
rash swelling: 2/10,0.215,0.8367,0.4015,0.0342
pain that improves when you lean forward,0.1538,0.9796,0.4015,0.0222
"numbness, loss of sensation or tingling in the feet",0.1538,0.9796,0.4015,0.0222
rash swelling: 3/10,0.2149,0.8367,0.4014,0.0342
pain in dorsal aspect of the foot (right),0.1533,0.9796,0.4012,0.0221
pain in dorsal aspect of the wrist (right),0.162,0.9592,0.4011,0.0237
feel that your eyes produce excessive tears,0.1532,0.9796,0.4011,0.0221
feel out of breath with minimal physical effort,0.1532,0.9796,0.4011,0.0221
skin much paler than usual,0.1529,0.9796,0.4009,0.0221
pain in thigh (left),0.1529,0.9796,0.4009,0.0221
clinical evidence 96,0.1529,0.9796,0.4009,0.0221
take a calcium channel blockers (medication),0.1529,0.9796,0.4009,0.0221
think you are pregnant or are you currently pregnant,0.1615,0.9592,0.4008,0.0237
clinical evidence 221,0.1527,0.9796,0.4008,0.022
pain in thigh (right),0.1528,0.9796,0.4008,0.0221
clinical evidence 186,0.1527,0.9796,0.4008,0.022
clinical evidence 179,0.1528,0.9796,0.4008,0.022
consume energy drinks regularly,0.1524,0.9796,0.4006,0.022
clinical evidence 213,0.1525,0.9796,0.4006,0.022
clinical evidence 128,0.1522,0.9796,0.4004,0.0219
unable to control the direction of your eyes,0.152,0.9796,0.4003,0.0219
clinical evidence 107,0.1513,0.9796,0.3998,0.0218
consulting because you have high blood pressure,0.1508,0.9796,0.3994,0.0217
clinical evidence 160,0.1506,0.9796,0.3993,0.0216
pain in finger (ring finger) (right),0.1505,0.9796,0.3992,0.0216
swelling in tibia (left),0.1504,0.9796,0.3991,0.0216
clinical evidence 142,0.1499,0.9796,0.3988,0.0215
pain in testicle (right),0.1498,0.9796,0.3988,0.0215
wheeze while inhaling or is your breathing noisy after coughing spells,0.1499,0.9796,0.3988,0.0215
pain in finger (index) (left),0.1496,0.9796,0.3986,0.0215
clinical evidence 43,0.1495,0.9796,0.3985,0.0214
pain in finger (middle) (right),0.1493,0.9796,0.3984,0.0214
live in a rural area,0.1491,0.9796,0.3983,0.0214
pain in finger (middle) (left),0.1492,0.9796,0.3983,0.0214
pain in pubis,0.1579,0.9592,0.3983,0.023
pain in finger (index) (right),0.1491,0.9796,0.3983,0.0214
currently taking or have you recently taken anti-inflammatory drugs (nsaids),0.149,0.9796,0.3982,0.0214
"weakness or paralysis on one side of the face, which may still be present or completely resolved",0.1489,0.9796,0.3981,0.0213
feel like you are (or were) choking or suffocating,0.1489,0.9796,0.3981,0.0213
skin lesion on internal cheek (left),0.1489,0.9796,0.3981,0.0213
work in construction,0.1483,0.9796,0.3977,0.0212
clinical evidence 174,0.148,0.9796,0.3975,0.0212
decrease in appetite,0.1479,0.9796,0.3974,0.0212
skin lesion on neck/upper back,0.165,0.9388,0.3972,0.0243
swelling in dorsal aspect of the foot (left),0.1476,0.9796,0.3972,0.0211
clinical evidence 29,0.1476,0.9796,0.3972,0.0211
pain in dorsal aspect of the foot (left),0.1473,0.9796,0.397,0.0211
clinical evidence 74,0.1471,0.9796,0.3969,0.021
regularly drink coffee or tea,0.1472,0.9796,0.3969,0.021
clinical evidence 158,0.1468,0.9796,0.3966,0.021
more irritable or has your mood been very unstable,0.1468,0.9796,0.3966,0.021
pain localization: 1/10,0.2429,0.7551,0.3966,0.0401
rash swelling: 4/10,0.199,0.8571,0.3964,0.0309
currently being treated or have you recently been treated with an oral antibiotic for an ear infection,0.1464,0.9796,0.3964,0.0209
clinical evidence 99,0.1464,0.9796,0.3963,0.0209
live in the suburbs,0.146,0.9796,0.3961,0.0208
ever temporarily stop breathing while you’re asleep,0.146,0.9796,0.3961,0.0208
pain in finger (ring finger) (left),0.1455,0.9796,0.3957,0.0207
clinical evidence 150,0.1449,0.9796,0.3953,0.0206
skin lesion on side of the neck (right),0.1531,0.9592,0.3949,0.0221
pain radiates to jaw,0.1435,0.9796,0.3943,0.0204
skin lesion on side of the neck (left),0.1509,0.9592,0.3934,0.0217
pain radiates to chin,0.1421,0.9796,0.3934,0.0201
pain radiates to trachea,0.1594,0.9388,0.3932,0.0233
pain in testicle (left),0.1414,0.9796,0.3928,0.02
clinical evidence 90,0.1409,0.9796,0.3925,0.0199
pain in finger (little finger) (right),0.1374,0.9796,0.3901,0.0193
pain in sole (right),0.1365,0.9796,0.3894,0.0191
pain in dorsal aspect of the wrist (left),0.1438,0.9592,0.3884,0.0204
itching severity: 1/10,0.1605,0.9184,0.3878,0.0235
itching severity: 3/10,0.1598,0.9184,0.3874,0.0233
vaginal discharge,0.1335,0.9796,0.3873,0.0186
itching severity: 2/10,0.1596,0.9184,0.3872,0.0233
swelling in posterior aspect of the ankle (right),0.133,0.9796,0.387,0.0185
swelling in posterior aspect of the ankle (left),0.1328,0.9796,0.3868,0.0185
pain radiates to triceps (right),0.1569,0.9184,0.3854,0.0228
pain in no specific location,0.1394,0.9592,0.3853,0.0196
pain intensity: 0/10,0.1394,0.9592,0.3853,0.0196
pain character: na,0.1394,0.9592,0.3853,0.0196
skin lesion on forehead,0.1289,0.9796,0.3841,0.0178
pain in trachea,0.1372,0.9592,0.3838,0.0193
pain radiates to breast (right),0.1267,0.9796,0.3825,0.0174
itching severity: 10/10,0.1353,0.9592,0.3824,0.0189
itching severity: 8/10,0.1345,0.9592,0.3819,0.0188
itching severity: 9/10,0.1343,0.9592,0.3818,0.0187
pain in finger (little finger) (left),0.1256,0.9796,0.3818,0.0172
itching severity: 7/10,0.1337,0.9592,0.3814,0.0186
rash swelling: 5/10,0.1599,0.898,0.3813,0.0234
pain in sole (left),0.1236,0.9796,0.3804,0.0169
skin lesion on mid back,0.1407,0.9388,0.3801,0.0199
clinical evidence 141,0.1227,0.9796,0.3798,0.0167
skin lesion on bottom lip (right),0.122,0.9796,0.3793,0.0166
rash pain intensity: 5/10,0.1477,0.9184,0.3789,0.0211
rash swelling: 6/10,0.1451,0.9184,0.3771,0.0207
swelling in sole (right),0.1188,0.9796,0.3771,0.0161
rash pain intensity: 4/10,0.1444,0.9184,0.3766,0.0205
currently take hormones,0.1173,0.9796,0.376,0.0158
itching severity: 4/10,0.1338,0.9388,0.3753,0.0187
pain in palmar face of the wrist (right),0.1243,0.9592,0.3748,0.017
pain in biceps (right),0.1327,0.9388,0.3746,0.0185
skin lesion on lower back,0.1225,0.9592,0.3735,0.0167
skin lesion on commissure (right),0.1132,0.9796,0.3731,0.0151
skin lesion on commissure (left),0.1131,0.9796,0.373,0.0151
skin lesion on shoulder (left),0.1123,0.9796,0.3725,0.015
skin lesion on shoulder (right),0.1122,0.9796,0.3724,0.015
skin lesion on buttock (right),0.1115,0.9796,0.3719,0.0149
rash pain intensity: 6/10,0.1288,0.9388,0.3718,0.0178
skin lesion on buttock (left),0.1107,0.9796,0.3714,0.0147
pain in lateral side of the foot (right),0.1106,0.9796,0.3713,0.0147
skin lesion on flank (right),0.1101,0.9796,0.371,0.0146
itching severity: 5/10,0.1184,0.9592,0.3706,0.016
skin lesion on flank (left),0.1087,0.9796,0.3699,0.0144
rash pain intensity: 7/10,0.117,0.9592,0.3696,0.0158
very abundant or very long menstruation periods,0.1077,0.9796,0.3693,0.0142
pain radiates to breast (left),0.1068,0.9796,0.3686,0.0141
pain radiates to triceps (left),0.1237,0.9388,0.3682,0.0169
pain in palmar face of the wrist (left),0.1058,0.9796,0.3679,0.0139
itching severity: 6/10,0.1057,0.9796,0.3679,0.0139
pain in biceps (left),0.1221,0.9388,0.3671,0.0166
pain in calf (right),0.1133,0.9592,0.3671,0.0152
skin lesion on posterior chest wall (right),0.1037,0.9796,0.3665,0.0136
skin lesion on posterior chest wall (left),0.1018,0.9796,0.3651,0.0133
skin lesion on upper lip (right),0.1012,0.9796,0.3647,0.0132
pain in lateral side of the foot (left),0.1005,0.9796,0.3642,0.0131
skin lesion on belly,0.0998,0.9796,0.3637,0.0129
swelling in sole (left),0.0989,0.9796,0.3631,0.0128
